"","x","error_rate_mean","average_quality_mean","percent_mapped_mean","percent_peptides_detected_mean","percent_peptides_between_10_and_100_mean","error_rate_median","average_quality_median","percent_mapped_median","percent_peptides_detected_median","percent_peptides_between_10_and_100_median","error_rate_sd","average_quality_sd","percent_mapped_sd","percent_peptides_detected_sd","percent_peptides_between_10_and_100_sd"
"11","trim50.10_n2_rd50_pep168_",0.00196328775,35.4125,74.1611038592849,53.8792229663878,22.0112742384431,0.0018255465,35.4,80.4748232892468,68.7560912854659,25.3264929009723,0.000491244387376371,0.0640869944461665,18.4812100679362,34.1425236756187,17.9878316446187
"12","trim50.10_n2_rd50_pep50_",0.00196328775,35.4125,74.1611038592849,53.8792229663878,22.0112742384431,0.0018255465,35.4,80.4748232892468,68.7560912854659,25.3264929009723,0.000491244387376371,0.0640869944461665,18.4812100679362,34.1425236756187,17.9878316446187
"13","trim50.10_n3_rd0_pep168_",0.002025382875,35.4125,74.207942514162,53.8945242754781,22.0163421879508,0.001862576,35.4,80.5177899731895,68.7689560803699,25.3354592731781,0.000562737118041919,0.0640869944461665,18.4615250236287,34.1346747308059,17.9900168117762
"14","trim50.10_n3_rd0_pep50_",0.002025382875,35.4125,74.207942514162,53.8945242754781,22.0163421879508,0.001862576,35.4,80.5177899731895,68.7689560803699,25.3354592731781,0.000562737118041919,0.0640869944461665,18.4615250236287,34.1346747308059,17.9900168117762
"15","trim50.10_n3_rd50_pep168_",0.002025382875,35.4125,74.207942514162,53.8945242754781,22.0163421879508,0.001862576,35.4,80.5177899731895,68.7689560803699,25.3354592731781,0.000562737118041919,0.0640869944461665,18.4615250236287,34.1346747308059,17.9900168117762
"16","trim50.10_n3_rd50_pep50_",0.002025382875,35.4125,74.207942514162,53.8945242754781,22.0163421879508,0.001862576,35.4,80.5177899731895,68.7689560803699,25.3354592731781,0.000562737118041919,0.0640869944461665,18.4615250236287,34.1346747308059,17.9900168117762
"17","trim50.15_n2_rd0_pep168_",0.002042845625,35.3875,76.0525082978474,54.5429294307523,22.4801570284663,0.0018931505,35.4,82.796012970362,69.7073064238209,25.8633057065111,0.000495590220960519,0.0834522960396269,19.0608977142493,34.4476320380466,18.3734316720216
"18","trim50.15_n2_rd0_pep50_",0.002042845625,35.3875,76.0525082978474,54.5429294307523,22.4801570284663,0.0018931505,35.4,82.796012970362,69.7073064238209,25.8633057065111,0.000495590220960519,0.0834522960396269,19.0608977142493,34.4476320380466,18.3734316720216
"19","trim50.15_n2_rd50_pep168_",0.002042845625,35.3875,76.0525082978474,54.5429294307523,22.4801570284663,0.0018931505,35.4,82.796012970362,69.7073064238209,25.8633057065111,0.000495590220960519,0.0834522960396269,19.0608977142493,34.4476320380466,18.3734316720216
"20","trim50.15_n2_rd50_pep50_",0.002042845625,35.3875,76.0525082978474,54.5429294307523,22.4801570284663,0.0018931505,35.4,82.796012970362,69.7073064238209,25.8633057065111,0.000495590220960519,0.0834522960396269,19.0608977142493,34.4476320380466,18.3734316720216
"21","trim50.15_n3_rd0_pep168_",0.002105133125,35.3875,76.0936787783754,54.5573535947356,22.4862970442159,0.0019304935,35.4,82.832533303426,69.7201712187249,25.8726619209868,0.000571840839428354,0.0834522960396269,19.0413813848498,34.4413205870445,18.3754198156812
"22","trim50.15_n3_rd0_pep50_",0.002105133125,35.3875,76.0936787783754,54.5573535947356,22.4862970442159,0.0019304935,35.4,82.832533303426,69.7201712187249,25.8726619209868,0.000571840839428354,0.0834522960396269,19.0413813848498,34.4413205870445,18.3754198156812
